scenario_id,defence,assurance,pollinator_service,floral_damage_pressure,relief_minus_joint_cost_ratio_K,boundary_type,lower_boundary_c_D,upper_boundary_c_D,classification_at_interval_low,classification_at_interval_high,interval_verdict
high_tracking_low_obstruction_low_shared_cost,0.5,0.0,0.8,0.2,0.26875,two_sided_window,0.314517728,6.313247948,complementary,substitutable,unsettled_interval_spans_boundary
high_tracking_low_obstruction_low_shared_cost,0.5,0.0,0.8,0.5,0.71875,two_sided_window,1.598043457,2.464294463,complementary,complementary,settled_complementary
high_tracking_low_obstruction_low_shared_cost,0.5,0.0,0.8,0.8,1.16875,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.5,0.5,0.2,0.2,1.131578947,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.5,0.5,0.2,0.5,3.026315789,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.5,0.5,0.2,0.8,4.921052632,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.5,0.5,0.5,0.2,0.4526315789,two_sided_window,0.6158500674,4.665926315,complementary,substitutable,unsettled_interval_spans_boundary
high_tracking_low_obstruction_low_shared_cost,0.5,0.5,0.5,0.5,1.210526316,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.5,0.5,0.5,0.8,1.968421053,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.5,0.5,0.8,0.2,0.2828947368,two_sided_window,0.3343747014,6.16224223,complementary,substitutable,unsettled_interval_spans_boundary
high_tracking_low_obstruction_low_shared_cost,0.5,0.5,0.8,0.5,0.7565789474,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.5,0.5,0.8,0.8,1.230263158,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.2,0.2,1.075,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.2,0.5,2.875,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.2,0.8,4.675,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.5,0.2,0.43,two_sided_window,0.8461724192,1.765517153,complementary,complementary,settled_complementary
high_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.5,0.5,1.15,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.5,0.8,1.87,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.8,0.2,0.26875,two_sided_window,0.3578237664,3.026884441,complementary,substitutable,unsettled_interval_spans_boundary
high_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.8,0.5,0.71875,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.8,0.0,0.8,0.8,1.16875,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.2,0.2,1.131578947,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.2,0.5,3.026315789,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.2,0.8,4.921052632,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.5,0.2,0.4526315789,two_sided_window,1.040635748,1.485722199,complementary,complementary,settled_complementary
high_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.5,0.5,1.210526316,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.5,0.8,1.968421053,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.8,0.2,0.2828947368,two_sided_window,0.3849062921,2.916203947,complementary,substitutable,unsettled_interval_spans_boundary
high_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.8,0.5,0.7565789474,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_tracking_low_obstruction_low_shared_cost,0.8,0.5,0.8,0.8,1.230263158,always_complementary,,,complementary,complementary,settled_complementary_regardless_of_c_D
high_obstruction_high_shared_cost,0.2,0.0,0.2,0.2,-0.6416666667,always_substitutable,,,substitutable,substitutable,settled_substitutable_regardless_of_c_D
high_obstruction_high_shared_cost,0.2,0.0,0.2,0.5,-0.04166666667,always_substitutable,,,substitutable,substitutable,settled_substitutable_regardless_of_c_D
high_obstruction_high_shared_cost,0.2,0.0,0.2,0.8,0.5583333333,two_sided_window,0.6337874498,17.11326512,complementary,substitutable,unsettled_interval_spans_boundary
