source_db,query_id,record_id,doi,title,year,authors,publication,url,search_date
OpenAlex,Q5,https://openalex.org/W4412593772,10.3390/plants14152266,Spatiotemporal Variations in Nectar Robbing and Its Effects on Reproduction in Salvia castanea Diels (Lamiaceae),2025,Hanwen Xiao; Yanbo Huang,Plants,https://doi.org/10.3390/plants14152266,2026-09-25
OpenAlex,Q5,https://openalex.org/W2060327081,10.1016/j.sajb.2011.11.003,Experimental evidence for bird pollination and corolla damage by ants in the short-tubed flowers of Erica halicacaba (Ericaceae),2011,R. Turner; Jeremy J. Midgley; Phoebe Barnard; Robert E. Simmons; Steven D. Johnson,South African Journal of Botany,https://doi.org/10.1016/j.sajb.2011.11.003,2026-09-25
OpenAlex,Q5,https://openalex.org/W4401265444,10.1186/s12862-024-02293-4,Functional trait mismatch between native and introduced bee pollinators servicing a global fruit crop,2024,Olivia M. Bernauer; Michael G. Branstetter; James M. Cook; Simon M. Tierney,BMC Ecology and Evolution,https://doi.org/10.1186/s12862-024-02293-4,2026-09-25
OpenAlex,Q5,https://openalex.org/W2946257926,10.1038/s41598-019-43753-y,A comparison of coffee floral traits under two different agricultural practices,2019,Sara Guiti Prado; Jaime  Agustin Collazo; Philip C. Stevenson; Rebecca E. Irwin,Scientific Reports,https://doi.org/10.1038/s41598-019-43753-y,2026-09-25
OpenAlex,Q5,https://openalex.org/W2917945275,10.1134/s0013873818080079,"Nesting and Biology of Alastor mocsaryi (Hymenoptera, Vespidae: Eumeninae)",2018,Alexander V. Fateryga; Yulia А. Podunay,Entomological Review,https://doi.org/10.1134/s0013873818080079,2026-09-25
OpenAlex,Q5,https://openalex.org/W2120142743,10.1111/j.1558-5646.2008.00327.x,THE ROLE OF POLLINATOR SHIFTS IN THE FLORAL DIVERSIFICATION OF IOCHROMA (SOLANACEAE),2008,Stacey D. Smith; Cécile Ané; David Baum,Evolution,https://doi.org/10.1111/j.1558-5646.2008.00327.x,2026-09-25
OpenAlex,Q5,https://openalex.org/W2080646779,10.1111/j.1095-8339.2004.00329.x,Trends in floral scent chemistry in pollination syndromes: floral scent composition in hummingbird-pollinated taxa,2004,Jette T. Knudsen; Lars Tollsten; Inga Groth; Günnar Bergström; Robert A. Raguso,Botanical Journal of the Linnean Society,https://doi.org/10.1111/j.1095-8339.2004.00329.x,2026-09-25
OpenAlex,Q5,https://openalex.org/W2968883205,10.1002/ece3.5539,How does urbanization affect the reproductive characteristics and ecological affinities of street plant communities?,2019,James Desaegher; Sophie Nadot; Nathalie Machon; Bruno Colas,Ecology and Evolution,https://doi.org/10.1002/ece3.5539,2026-09-25
OpenAlex,Q5,https://openalex.org/W3126120752,10.26786/1920-7603(2020)619,Exploitation of Strobilanthes ixiocephala (Acanthaceae) flower buds by bees,2021,Priyanka A Ambavane; Nikhil More; Renee Maria Borges,Journal of Pollination Ecology,https://doi.org/10.26786/1920-7603(2020)619,2026-09-25
OpenAlex,Q5,https://openalex.org/W7196986504,10.1002/ece3.74123,Mutualism and Antagonism in a Post‐Extinction Hawaiian Bird–Lobelioid Pollination System,2026,Samuel B. Case; Donald R. Drake; Kevin Epperly; Christopher Steinbronn; Keoki Kanakaokai; Molly E. Hagemann; Nathaniel H. Kingsley; Shannon Gregory; Hanna L. Mounce; Alejandro Rico‐Guevara,Ecology and Evolution,https://doi.org/10.1002/ece3.74123,2026-09-25
OpenAlex,Q5,https://openalex.org/W4388857470,10.1093/biolinnean/blad164,Mixed mating patterns in morphologically diverse bumblebee-pollinated Salvia species from China,2023,Hanwen Xiao; Yanbo Huang; Qingshan Liu; Regine Claßen‐Bockhoff; Ru-Nan Tian; Yukun K Wei,Biological Journal of the Linnean Society,https://doi.org/10.1093/biolinnean/blad164,2026-09-25
OpenAlex,Q5,https://openalex.org/W2115950208,10.1093/jxb/ert025,Control of flower size,2013,Beth Allyn Krizek; Jill T. Anderson,Journal of Experimental Botany,https://doi.org/10.1093/jxb/ert025,2026-09-25
OpenAlex,Q5,https://openalex.org/W2088193299,10.1303/aez.2010.101,"Bombus terrestris, pollinator, invasive and pest: An assessment of problems associated with its widespread introductions for commercial purposes",2010,Amots Dafni; Peter G. Kevan; Caroline L. Gross; Koichi Goka,Applied Entomology and Zoology,https://doi.org/10.1303/aez.2010.101,2026-09-25
OpenAlex,Q5,https://openalex.org/W4402125664,10.3897/phytokeys.246.126310,Evidence for moth pollination in a rhinomyiophilous Erica species from the Cape Floristic Region of South Africa,2024,Timotheüs van der Niet; Ruth J. Cozien,PhytoKeys,https://doi.org/10.3897/phytokeys.246.126310,2026-09-25
